time	V(n004)
0.000000000000000e+000	1.128963e-005
1.000000000000000e-009	3.158368e-003
2.724161750374855e-009	3.143050e-003
4.448323500749709e-009	3.117179e-003
6.172485251124563e-009	3.080758e-003
7.896647001499418e-009	3.033784e-003
9.620808751874274e-009	2.976259e-003
1.134497050224913e-008	2.908183e-003
1.306913225262398e-008	2.829554e-003
1.860545608062214e-008	2.542745e-003
2.602317007534208e-008	2.084502e-003
3.446435914703092e-008	1.514492e-003
4.467639961232720e-008	8.265830e-004
5.686633739836729e-008	8.779055e-005
6.969385384944646e-008	-5.313638e-004
8.348836911437474e-008	-9.798821e-004
9.876859414285479e-008	-1.228116e-003
1.157082057692285e-007	-1.261882e-003
1.343245093210633e-007	-1.108636e-003
1.536441939184193e-007	-8.463085e-004
1.686201564391224e-007	-6.218259e-004
1.784935076323839e-007	-4.825450e-004
1.892307402153291e-007	-3.509858e-004
2.012811092479534e-007	-2.294772e-004
2.137893860350059e-007	-1.331399e-004
2.272118986729808e-007	-6.163335e-005
2.415352030783952e-007	-1.631405e-005
2.576296237665541e-007	5.350515e-006
2.759156098257123e-007	5.158152e-006
2.982137391328718e-007	-1.313831e-005
3.279214552226111e-007	-4.410411e-005
3.619503527716768e-007	-7.158266e-005
3.972568225773366e-007	-8.491001e-005
4.390210611823495e-007	-8.578702e-005
5.527180787601716e-007	-6.830950e-005
9.939277263574573e-007	1.630838e-005
1.398488665902865e-006	1.476484e-004
2.105312580883297e-006	4.726480e-004
2.859452850913849e-006	9.545683e-004
3.761906052052119e-006	1.725042e-003
4.761083332784555e-006	2.823607e-003
6.025865852194680e-006	4.570314e-003
7.448717414694680e-006	6.970654e-003
8.871568977194680e-006	9.829953e-003
1.029442053969468e-005	1.314743e-002
1.171727210219468e-005	1.690850e-002
1.314012366469468e-005	2.109853e-002
1.456297522719468e-005	2.570282e-002
1.598582678969468e-005	3.070663e-002
1.740867835219468e-005	3.609518e-002
1.883152991469468e-005	4.185368e-002
2.025438147719468e-005	4.796731e-002
2.167723303969468e-005	5.442127e-002
2.310008460219468e-005	6.120074e-002
